session_id,target
1,0.0014479117955426433
2,1.9558760653924076e-08
3,4.8429536743520844e-08
4,1.1312018202743775e-07
5,1.0382896622471038e-05
6,0.000513886469195197
7,0.0016286762700778701
8,0.00032107132985185116
9,0.0002652284709111518
10,0.010908930301484078
11,4.0576283244739626e-05
12,7.34800906519143e-05
13,0.0004184124048773773
14,0.4084965781957497
15,4.773845334286657e-05
16,0.0026281783203737905
17,0.0007866608239082772
18,3.258538899407268e-05
19,0.00046616317826677847
20,5.553966613928767e-07
21,0.04609238823007645
22,2.2728520345057363e-07
23,3.312853607783548e-05
24,0.0004839911122383484
25,0.0026353864443753048
26,3.413931337671688e-08
27,0.0007031565347184245
28,3.092514155822974e-07
29,0.007686073440417508
30,9.456732347537723e-05
31,0.0139732149506266
32,0.009266674394051523
33,0.0007351428833107129
34,3.1836232973212703e-07
35,0.009267333213469984
36,0.00029708665860213204
37,3.329525256084872e-08
38,4.174702994625674e-08
39,9.456732347537723e-05
40,2.4200005153975583e-05
41,0.0003464490214427722
42,0.007086644059476732
43,5.251246363440977e-06
44,2.414341229436891e-06
45,0.35432170151921066
46,7.5024473545806275e-06
47,0.006514086444643228
48,0.0002079846302899405
49,1.759635462259658e-05
50,1.2819717811751858e-05
51,2.596975951873379e-07
52,3.95542219207246e-06
53,0.042630171028499975
54,6.007820544492149e-05
55,2.9631503586336173e-05
56,0.0014300703500944583
57,2.489608639985805e-06
58,6.110859158919212e-05
59,7.625558547814829e-06
60,7.152787587278796e-06
61,1.5896577729090453e-05
62,0.006006957104363151
63,2.8251223224718157e-05
64,9.698952097735287e-05
65,6.224613675135252e-06
66,4.908158537745308e-07
67,0.00091044666631959
68,3.251439896661373e-05
69,0.08671310067043712
70,0.0003430018309518604
71,7.847461279779063e-05
72,7.625558547814829e-06
73,0.003806711169443074
74,1.9558760653924076e-08
75,3.0586550404826495e-05
76,8.622686851269419e-05
77,0.000403750262200328
78,0.0012679683072043724
79,1.3104016488265353e-05
80,0.0004156425840761302
81,2.2629359343243336e-05
82,0.00010925292989977746
83,3.439019420253832e-08
84,0.8876931965616466
85,7.5386460011717355e-06
86,9.457680044845671e-07
87,0.0021283034508856992
88,0.0001916668098121935
89,0.0006522862639446523
90,0.03489315577481335
91,0.00020962790432781165
92,3.2248917761827313e-06
93,0.012229849653849252
94,0.0003027505983320489
95,0.017204742868864743
96,1.277677529643082e-07
97,9.777118152766082e-05
98,0.00012002817806174648
99,4.6690486171056364e-05
100,0.0002341292570501714
101,0.0016831553093790172
102,0.02174294388494073
103,0.0017344939586753808
104,0.001703506257449225
105,7.185665145145208e-06
106,0.0001597910925989089
107,0.0009796865399444613
108,7.3271301118584715e-06
109,4.0952468242949775e-05
110,8.7927883741613e-05
111,0.00013158001708136357
112,2.452645084637975e-07
113,0.01590043952591008
114,8.598943171080654e-06
115,8.167547593380881e-05
116,1.0074840537765363e-05
117,0.0010885458005927063
